Start receiveer
Listening on frequency: 915.00
Hello, node 2, message 101, tx time 404 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 207/3
Hello, node 3, message 109, tx time 401 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 208/3
Hello, node 2, message 102, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 209/3
Hello, node 3, message 110, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 210/3
Hello, node 2, message 103, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 211/3
Hello, node 3, message 111, tx time 401 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 212/3
Hello, node 2, message 104, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 213/3
Hello, node 3, message 112, tx time 402 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 214/3
Hello, node 2, message 105, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 215/3
Hello, node 3, message 113, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 10 dB, good/bad packets: 216/3
Hello, node 2, message 106, tx time 402 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 217/3
Hello, node 3, message 114, tx time 402 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 218/3
Hello, node 2, message 107, tx time 404 ms, battery 339, RSSI-38 dBm, SNR 10 dB, good/bad packets: 219/3
Hello, node 3, message 115, tx time 401 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 220/3
Hello, node 2, message 108, tx time 402 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 221/3
Hello, node 3, message 116, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 222/3
Hello, node 2, message 109, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 223/3
Hello, node 3, message 117, tx time 401 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 224/3
Hello, node 2, message 110, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 225/3
Hello, node 3, message 118, tx time 401 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 226/3
Hello, node 2, message 111, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 227/3
Hello, node 3, message 119, tx time 402 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 228/3
Hello, node 2, message 112, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 229/3
Hello, node 3, message 120, tx time 402 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 230/3
Hello, node 2, message 113, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 231/3
Hello, node 3, message 121, tx time 401 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 232/3
Hello, node 2, message 114, tx time 402 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 233/3
Hello, node 3, message 122, tx time 401 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 234/3
Hello, node 2, message 115, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 235/3
Hello, node 3, message 123, tx time 401 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 236/3
Hello, node 2, message 116, tx time 401 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 237/3
Hello, node 3, message 124, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 238/3
