Hello, node 2, message 27680, msg time 1599886933, tx time 402 ms, battery 357 v, temp 1739 C, humidity 7804 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60841/1770
Hello, node 2, message 27681, msg time 1599886954, tx time 404 ms, battery 357 v, temp 1740 C, humidity 7800 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60842/1770
Hello, node 2, message 27682, msg time 1599886975, tx time 403 ms, battery 357 v, temp 1744 C, humidity 7805 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60843/1770
Hello, node 2, message 27683, msg time 1599886996, tx time 403 ms, battery 357 v, temp 1743 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60844/1770
Hello, node 2, message 27684, msg time 1599887017, tx time 403 ms, battery 357 v, temp 1745 C, humidity 7801 %, status 0x00, RSSI -90 dBm, SNR 9 dB, good/bad packets: 60845/1770
Hello, node 2, message 27685, msg time 1599887038, tx time 404 ms, battery 356 v, temp 1745 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60846/1770
Hello, node 2, message 27686, msg time 1599887059, tx time 403 ms, battery 357 v, temp 1746 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60847/1770
Hello, node 2, message 27687, msg time 1599887080, tx time 402 ms, battery 356 v, temp 1749 C, humidity 7806 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60848/1770
Hello, node 2, message 27688, msg time 1599887101, tx time 404 ms, battery 356 v, temp 1750 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60849/1770
Hello, node 2, message 27689, msg time 1599887123, tx time 404 ms, battery 357 v, temp 1753 C, humidity 7801 %, status 0x00, RSSI -91 dBm, SNR 8 dB, good/bad packets: 60850/1770
